xpath,versions,description
/IRS990/ActivityOther/Grants,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Other activities grouping; [Grants] Grants
/IRS990/ActivityOther/Revenue,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Other activities grouping; [Revenue] Revenue
/IRS990/AddressChange,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressChange] Indicates this return has an address change
/IRS990/AddressChangeInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AddressChangeInd] Indicates this return has an address change
/IRS990/AddressPrincipalOfficerForeign/AddressLine1,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] Address of principal officer - Foreign; [AddressLine1] Address line 1
/IRS990/AddressPrincipalOfficerForeign/AddressLine2,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] Address of principal officer - Foreign; [AddressLine2] Address line 2
/IRS990/AddressPrincipalOfficerForeign/City,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] Address of principal officer - Foreign; [City] City
/IRS990/AddressPrincipalOfficerForeign/Country,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] Address of principal officer - Foreign; [Country] Country
/IRS990/AddressPrincipalOfficerForeign/PostalCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] Address of principal officer - Foreign; [PostalCode] Postal code
/IRS990/AddressPrincipalOfficerForeign/ProvinceOrState,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] Address of principal officer - Foreign; [ProvinceOrState] Province or state
/IRS990/AddressPrincipalOfficerUS/AddressLine1,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] Address of principal officer - US; [AddressLine1] Address line 1
/IRS990/AddressPrincipalOfficerUS/AddressLine2,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] Address of principal officer - US; [AddressLine2] Address line 2
/IRS990/AddressPrincipalOfficerUS/City,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] Address of principal officer - US; [City] City
/IRS990/AddressPrincipalOfficerUS/State,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] Address of principal officer - US; [State] State
/IRS990/AddressPrincipalOfficerUS/ZIPCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] Address of principal officer - US; [ZIPCode] ZIP code
/IRS990/Advertising/Fundraising,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Advertising] Advertising; [Fundraising] Fundraising
/IRS990/Advertising/ManagementAndGeneral,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Advertising] Advertising; [ManagementAndGeneral] Management and general
/IRS990/Advertising/ProgramServices,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Advertising] Advertising; [ProgramServices] Program services
/IRS990/Advertising/Total,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Advertising] Advertising; [Total] Total
/IRS990/AdvertisingGrp/FundraisingAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AdvertisingGrp] Advertising; [FundraisingAmt] Fundraising
/IRS990/AdvertisingGrp/ManagementAndGeneralAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AdvertisingGrp] Advertising; [ManagementAndGeneralAmt] Management and general
/IRS990/AdvertisingGrp/ProgramServicesAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AdvertisingGrp] Advertising; [ProgramServicesAmt] Program services
/IRS990/AdvertisingGrp/TotalAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AdvertisingGrp] Advertising; [TotalAmt] Total
/IRS990/AllAffiliatesIncluded,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllAffiliatesIncluded] All affiliates included?
/IRS990/AllAffiliatesIncludedInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllAffiliatesIncludedInd] All affiliates included?
/IRS990/AllOtherContributions,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,"[AllOtherContributions] All other contributions, gifts, grants, and similar amounts not included in above"
/IRS990/AllOtherContributionsAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,"[AllOtherContributionsAmt] All other contributions, gifts, grants, and similar amounts not included in above"
/IRS990/AllOtherExpenses/Fundraising,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllOtherExpenses] All other expenses; [Fundraising] Fundraising
/IRS990/AllOtherExpenses/ManagementAndGeneral,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllOtherExpenses] All other expenses; [ManagementAndGeneral] Management and general
/IRS990/AllOtherExpenses/ProgramServices,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllOtherExpenses] All other expenses; [ProgramServices] Program services
/IRS990/AllOtherExpenses/Total,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllOtherExpenses] All other expenses; [Total] Total
/IRS990/AllOtherExpensesGrp/FundraisingAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllOtherExpensesGrp] All other expenses; [FundraisingAmt] Fundraising
/IRS990/AllOtherExpensesGrp/ManagementAndGeneralAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllOtherExpensesGrp] All other expenses; [ManagementAndGeneralAmt] Management and general
/IRS990/AllOtherExpensesGrp/ProgramServicesAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllOtherExpensesGrp] All other expenses; [ProgramServicesAmt] Program services
/IRS990/AllOtherExpensesGrp/TotalAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllOtherExpensesGrp] All other expenses; [TotalAmt] Total
/IRS990/AmendedReturn,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AmendedReturn] Indicates this return is an amended return
/IRS990/AmendedReturnInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AmendedReturnInd] Indicates this return is an amended return
/IRS990/AmountOfTaxExemptInterest,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AmountOfTaxExemptInterest] Amount of tax exempt interest
/IRS990/AmtReservesMaintained,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AmtReservesMaintained] Reserves maintained amount
/IRS990/AnnualDisclosureCoveredPersons,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AnnualDisclosureCoveredPersons] Annual disclosure by covered persons?
/IRS990/AnnualDisclosureCoveredPrsnInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AnnualDisclosureCoveredPrsnInd] Annual disclosure by covered persons?
/IRS990/AuditCommittee,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AuditCommittee] Does the organization have an audit committee?
/IRS990/AuditCommitteeInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AuditCommitteeInd] Does the organization have an audit committee?
/IRS990/AuditedFinancialStmtAttInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AuditedFinancialStmtAttInd] Audited financial statement attached?
/IRS990/BackupWthldComplianceInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[BackupWthldComplianceInd] Compliance with backup witholding?
/IRS990/BalanceSheetAmountsReported,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7,[BalanceSheetAmountsReported] Balance sheet amounts reported?
/IRS990/BenefitsPaidToMembersCY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[BenefitsPaidToMembersCY] Benefits paid to members - current year
/IRS990/BenefitsPaidToMembersPriorYear,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[BenefitsPaidToMembersPriorYear] Benefits paid to members - prior year
/IRS990/BenefitsToMembers/ProgramServices,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[BenefitsToMembers] Benefits paid to or for members; [ProgramServices] Program services
/IRS990/BenefitsToMembers/Total,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[BenefitsToMembers] Benefits paid to or for members; [Total] Total
/IRS990/BenefitsToMembersGrp/ProgramServicesAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[BenefitsToMembersGrp] Benefits paid to or for members; [ProgramServicesAmt] Program services
/IRS990/BenefitsToMembersGrp/TotalAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[BenefitsToMembersGrp] Benefits paid to or for members; [TotalAmt] Total
