xpath,versions,line_number
/IRS990/Activity2/Expense,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Part III Line 4b; [Expense] Part III
/IRS990/Activity2/Grants,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Part III Line 4b; [Grants] Part III
/IRS990/Activity2/Revenue,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Part III Line 4b; [Revenue] Part III
/IRS990/Activity3/ActivityCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Part III Line 4c; [ActivityCode] Part III
/IRS990/Activity3/Description,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Part III Line 4c; [Description] Part III
/IRS990/Activity3/Expense,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Part III Line 4c; [Expense] Part III
/IRS990/Activity3/Grants,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Part III Line 4c; [Grants] Part III
/IRS990/Activity3/Revenue,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Part III Line 4c; [Revenue] Part III
/IRS990/ActivityCd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[ActivityCd] Part III Line 4a
/IRS990/ActivityCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityCode] Part III Line 4a
/IRS990/ActivityOrMissionDesc,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[ActivityOrMissionDesc] Part I Line 1
/IRS990/ActivityOrMissionDescription,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOrMissionDescription] Part I Line 1
/IRS990/ActivityOther/ActivityCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Part III Line 4d; [ActivityCode] Part III
/IRS990/ActivityOther/Description,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Part III Line 4d; [Description] Part III
/IRS990/ActivityOther/Expense,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Part III Line 4d; [Expense] Part III
/IRS990/ActivityOther/Grants,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Part III Line 4d; [Grants] Part III
/IRS990/ActivityOther/Revenue,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Part III Line 4d; [Revenue] Part III
/IRS990/AddressChange,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressChange] B
/IRS990/AddressChangeInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AddressChangeInd] B
/IRS990/AddressPrincipalOfficerForeign/AddressLine1,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] F
/IRS990/AddressPrincipalOfficerForeign/AddressLine2,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] F
/IRS990/AddressPrincipalOfficerForeign/City,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] F
/IRS990/AddressPrincipalOfficerForeign/Country,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] F
/IRS990/AddressPrincipalOfficerForeign/PostalCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] F
/IRS990/AddressPrincipalOfficerForeign/ProvinceOrState,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerForeign] F
/IRS990/AddressPrincipalOfficerUS/AddressLine1,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] F
/IRS990/AddressPrincipalOfficerUS/AddressLine2,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] F
/IRS990/AddressPrincipalOfficerUS/City,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] F
/IRS990/AddressPrincipalOfficerUS/State,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] F
/IRS990/AddressPrincipalOfficerUS/ZIPCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AddressPrincipalOfficerUS] F
/IRS990/Advertising/Fundraising,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Advertising] Part IX Line 12; [Fundraising] col (D)
/IRS990/Advertising/ManagementAndGeneral,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Advertising] Part IX Line 12; [ManagementAndGeneral] col (C)
/IRS990/Advertising/ProgramServices,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Advertising] Part IX Line 12; [ProgramServices] col (B)
/IRS990/Advertising/Total,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Advertising] Part IX Line 12; [Total] col (A)
/IRS990/AdvertisingGrp/FundraisingAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AdvertisingGrp] Part IX Line 12; [FundraisingAmt] col (D)
/IRS990/AdvertisingGrp/ManagementAndGeneralAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AdvertisingGrp] Part IX Line 12; [ManagementAndGeneralAmt] col (C)
/IRS990/AdvertisingGrp/ProgramServicesAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AdvertisingGrp] Part IX Line 12; [ProgramServicesAmt] col (B)
/IRS990/AdvertisingGrp/TotalAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AdvertisingGrp] Part IX Line 12; [TotalAmt] col (A)
/IRS990/AllAffiliatesIncluded,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllAffiliatesIncluded] H(b)
/IRS990/AllAffiliatesIncludedInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllAffiliatesIncludedInd] H(b)
/IRS990/AllOtherContributions,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllOtherContributions] Part VIII Line 1f
/IRS990/AllOtherContributionsAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllOtherContributionsAmt] Part VIII Line 1f
/IRS990/AllOtherExpenses/Fundraising,2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllOtherExpenses] Part IX Line 24e; [Fundraising] col (D)
/IRS990/AllOtherExpenses/Fundraising,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3,[AllOtherExpenses] Part IX Line 24f; [Fundraising] col (D)
/IRS990/AllOtherExpenses/ManagementAndGeneral,2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllOtherExpenses] Part IX Line 24e; [ManagementAndGeneral] col (C)
/IRS990/AllOtherExpenses/ManagementAndGeneral,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3,[AllOtherExpenses] Part IX Line 24f; [ManagementAndGeneral] col (C)
/IRS990/AllOtherExpenses/ProgramServices,2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllOtherExpenses] Part IX Line 24e; [ProgramServices] col (B)
/IRS990/AllOtherExpenses/ProgramServices,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3,[AllOtherExpenses] Part IX Line 24f; [ProgramServices] col (B)
/IRS990/AllOtherExpenses/Total,2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AllOtherExpenses] Part IX Line 24e; [Total] col (A)
/IRS990/AllOtherExpenses/Total,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3,[AllOtherExpenses] Part IX Line 24f; [Total] col (A)
/IRS990/AllOtherExpensesGrp/FundraisingAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllOtherExpensesGrp] Part IX Line 24e; [FundraisingAmt] col (D)
/IRS990/AllOtherExpensesGrp/ManagementAndGeneralAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllOtherExpensesGrp] Part IX Line 24e; [ManagementAndGeneralAmt] col (C)
/IRS990/AllOtherExpensesGrp/ProgramServicesAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllOtherExpensesGrp] Part IX Line 24e; [ProgramServicesAmt] col (B)
/IRS990/AllOtherExpensesGrp/TotalAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AllOtherExpensesGrp] Part IX Line 24e; [TotalAmt] col (A)
/IRS990/AmendedReturn,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AmendedReturn] B
/IRS990/AmendedReturnInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AmendedReturnInd] B
/IRS990/AmountOfTaxExemptInterest,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AmountOfTaxExemptInterest] Part V Line 12b
/IRS990/AmtReservesMaintained,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AmtReservesMaintained] Part V Line 13c
/IRS990/AnnualDisclosureCoveredPersons,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AnnualDisclosureCoveredPersons] Part VI Section B Line 12b
/IRS990/AnnualDisclosureCoveredPrsnInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AnnualDisclosureCoveredPrsnInd] Part VI Section B Line 12b
/IRS990/AuditCommittee,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7,[AuditCommittee] Part XI Line 2c
/IRS990/AuditCommittee,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AuditCommittee] Part XII Line 2c
/IRS990/AuditCommitteeInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AuditCommitteeInd] Part XII Line 2c
/IRS990/AuditedFinancialStmtAttInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AuditedFinancialStmtAttInd] Part IV Line 20b
/IRS990/BackupWthldComplianceInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[BackupWthldComplianceInd] Part V Line 1c
/IRS990/BalanceSheetAmountsReported,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7,[BalanceSheetAmountsReported] Part IV Line 11
/IRS990/BenefitsPaidToMembersCY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[BenefitsPaidToMembersCY] Part I Line 14
/IRS990/BenefitsPaidToMembersPriorYear,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[BenefitsPaidToMembersPriorYear] Part I Line 14
/IRS990/BenefitsToMembers/ProgramServices,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[BenefitsToMembers] Part IX Line 4; [ProgramServices] col (B)
/IRS990/BenefitsToMembers/Total,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[BenefitsToMembers] Part IX Line 4; [Total] col (A)
/IRS990/BenefitsToMembersGrp/ProgramServicesAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[BenefitsToMembersGrp] Part IX Line 4; [ProgramServicesAmt] col (B)
/IRS990/BenefitsToMembersGrp/TotalAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[BenefitsToMembersGrp] Part IX Line 4; [TotalAmt] col (A)
/IRS990/BooksInCareOfDetail,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,
